session_id,session_config_id,game_id,cpu_model,gpu_model,ram_gb,drive_type,laptop,resolution,graphics_preset,vsync,antialiasing,texture_quality,special_effects,npc_count,player_actions,background_process_count,label_target,tweak_affinity,tweak_game_mode,tweak_hags,tweak_low_timer_resolution,tweak_power_plan,tweak_priority,tweak_recording_off,tweak_registry_preset,tweak_service,mean_fps,fps_1pct,fps_0_1pct,mean_frametime,frametime_p95,cpu_util,gpu_util,vram_util,temperature
synthetic-00000-00,cfg-00000,warzone,AMD Ryzen 7 5800X3D,NVIDIA RTX 4060,16,NVMe,0,2560x1440,low,off,msaa_2x,high,high,175,210,75,max_fps,0,0,0,0,0,0,0,0,0,89.83,64.89,51.91,11.132,15.411,96.47,54.2,47.28,64.0
synthetic-00000-01,cfg-00000,warzone,AMD Ryzen 7 5800X3D,NVIDIA RTX 4060,16,NVMe,0,2560x1440,low,off,msaa_2x,high,high,175,210,75,max_fps,1,0,0,0,0,0,0,0,0,94.77,74.68,59.75,10.552,13.39,94.93,54.2,47.28,64.0
synthetic-00000-02,cfg-00000,warzone,AMD Ryzen 7 5800X3D,NVIDIA RTX 4060,16,NVMe,0,2560x1440,low,off,msaa_2x,high,high,175,210,75,max_fps,0,1,0,0,0,0,0,0,0,92.86,70.69,56.55,10.768,14.146,95.53,54.2,47.28,64.0
synthetic-00000-03,cfg-00000,warzone,AMD Ryzen 7 5800X3D,NVIDIA RTX 4060,16,NVMe,0,2560x1440,low,off,msaa_2x,high,high,175,210,75,max_fps,0,0,1,0,0,0,0,0,0,91.81,68.13,54.51,10.892,14.677,95.85,54.2,47.28,64.0
synthetic-00000-04,cfg-00000,warzone,AMD Ryzen 7 5800X3D,NVIDIA RTX 4060,16,NVMe,0,2560x1440,low,off,msaa_2x,high,high,175,210,75,max_fps,0,0,0,1,0,0,0,0,0,91.09,70.66,56.53,10.978,14.152,96.08,54.2,47.28,64.0
synthetic-00000-05,cfg-00000,warzone,AMD Ryzen 7 5800X3D,NVIDIA RTX 4060,16,NVMe,0,2560x1440,low,off,msaa_2x,high,high,175,210,75,max_fps,0,0,0,0,1,0,0,0,0,93.6,71.15,56.92,10.683,14.054,95.29,54.2,47.28,64.0
synthetic-00000-06,cfg-00000,warzone,AMD Ryzen 7 5800X3D,NVIDIA RTX 4060,16,NVMe,0,2560x1440,low,off,msaa_2x,high,high,175,210,75,max_fps,0,0,0,0,0,1,0,0,0,95.95,76.33,61.06,10.422,13.101,94.56,54.2,47.28,64.0
synthetic-00000-07,cfg-00000,warzone,AMD Ryzen 7 5800X3D,NVIDIA RTX 4060,16,NVMe,0,2560x1440,low,off,msaa_2x,high,high,175,210,75,max_fps,0,0,0,0,0,0,1,0,0,91.27,67.24,53.79,10.957,14.872,96.02,54.2,47.28,64.0
synthetic-00000-08,cfg-00000,warzone,AMD Ryzen 7 5800X3D,NVIDIA RTX 4060,16,NVMe,0,2560x1440,low,off,msaa_2x,high,high,175,210,75,max_fps,0,0,0,0,0,0,0,1,0,94.16,73.17,58.54,10.62,13.667,95.12,54.2,47.28,64.0
synthetic-00000-09,cfg-00000,warzone,AMD Ryzen 7 5800X3D,NVIDIA RTX 4060,16,NVMe,0,2560x1440,low,off,msaa_2x,high,high,175,210,75,max_fps,0,0,0,0,0,0,0,0,1,93.02,71.15,56.92,10.75,14.054,95.48,54.2,47.28,64.0
synthetic-00000-10,cfg-00000,warzone,AMD Ryzen 7 5800X3D,NVIDIA RTX 4060,16,NVMe,0,2560x1440,low,off,msaa_2x,high,high,175,210,75,max_fps,1,1,1,0,0,0,1,0,0,99.68,83.97,67.18,10.032,11.909,93.4,54.2,47.28,64.0
synthetic-00000-11,cfg-00000,warzone,AMD Ryzen 7 5800X3D,NVIDIA RTX 4060,16,NVMe,0,2560x1440,low,off,msaa_2x,high,high,175,210,75,max_fps,0,0,0,1,0,0,0,0,1,94.08,76.58,61.27,10.629,13.058,95.15,54.2,47.28,64.0
synthetic-00000-12,cfg-00000,warzone,AMD Ryzen 7 5800X3D,NVIDIA RTX 4060,16,NVMe,0,2560x1440,low,off,msaa_2x,high,high,175,210,75,max_fps,0,1,0,0,0,1,0,0,1,101.06,87.22,69.78,9.895,11.465,92.97,54.2,47.28,64.0
synthetic-00001-00,cfg-00001,cyberpunk_2077,Intel Core i5-12400F,NVIDIA RTX 4060,16,NVMe,0,1920x1080,high,off,msaa_4x,high,low,122,130,97,balanced,0,0,0,0,0,0,0,0,0,90.18,63.27,50.62,11.09,15.805,55.13,96.0,47.28,64.0
synthetic-00001-01,cfg-00001,cyberpunk_2077,Intel Core i5-12400F,NVIDIA RTX 4060,16,NVMe,0,1920x1080,high,off,msaa_4x,high,low,122,130,97,balanced,1,0,0,0,0,0,0,0,0,92.7,67.38,53.9,10.787,14.841,54.35,96.0,47.28,64.0
synthetic-00001-02,cfg-00001,cyberpunk_2077,Intel Core i5-12400F,NVIDIA RTX 4060,16,NVMe,0,1920x1080,high,off,msaa_4x,high,low,122,130,97,balanced,0,1,0,0,0,0,0,0,0,92.72,68.63,54.9,10.785,14.571,54.34,96.0,47.28,64.0
synthetic-00001-03,cfg-00001,cyberpunk_2077,Intel Core i5-12400F,NVIDIA RTX 4060,16,NVMe,0,1920x1080,high,off,msaa_4x,high,low,122,130,97,balanced,0,0,1,0,0,0,0,0,0,95.32,72.8,58.24,10.492,13.737,53.53,96.0,47.28,64.0
synthetic-00001-04,cfg-00001,cyberpunk_2077,Intel Core i5-12400F,NVIDIA RTX 4060,16,NVMe,0,1920x1080,high,off,msaa_4x,high,low,122,130,97,balanced,0,0,0,1,0,0,0,0,0,90.54,65.16,52.13,11.045,15.347,55.02,96.0,47.28,64.0
synthetic-00001-05,cfg-00001,cyberpunk_2077,Intel Core i5-12400F,NVIDIA RTX 4060,16,NVMe,0,1920x1080,high,off,msaa_4x,high,low,122,130,97,balanced,0,0,0,0,1,0,0,0,0,93.96,69.48,55.58,10.643,14.393,53.95,96.0,47.28,64.0
synthetic-00001-06,cfg-00001,cyberpunk_2077,Intel Core i5-12400F,NVIDIA RTX 4060,16,NVMe,0,1920x1080,high,off,msaa_4x,high,low,122,130,97,balanced,0,0,0,0,0,1,0,0,0,93.77,70.88,56.71,10.664,14.108,54.01,96.0,47.28,64.0
synthetic-00001-07,cfg-00001,cyberpunk_2077,Intel Core i5-12400F,NVIDIA RTX 4060,16,NVMe,0,1920x1080,high,off,msaa_4x,high,low,122,130,97,balanced,0,0,0,0,0,0,1,0,0,95.04,72.85,58.28,10.521,13.727,53.62,96.0,47.28,64.0
synthetic-00001-08,cfg-00001,cyberpunk_2077,Intel Core i5-12400F,NVIDIA RTX 4060,16,NVMe,0,1920x1080,high,off,msaa_4x,high,low,122,130,97,balanced,0,0,0,0,0,0,0,1,0,92.47,67.88,54.3,10.814,14.732,54.42,96.0,47.28,64.0
synthetic-00001-09,cfg-00001,cyberpunk_2077,Intel Core i5-12400F,NVIDIA RTX 4060,16,NVMe,0,1920x1080,high,off,msaa_4x,high,low,122,130,97,balanced,0,0,0,0,0,0,0,0,1,94.55,72.01,57.61,10.577,13.886,53.77,96.0,47.28,64.0
synthetic-00001-10,cfg-00001,cyberpunk_2077,Intel Core i5-12400F,NVIDIA RTX 4060,16,NVMe,0,1920x1080,high,off,msaa_4x,high,low,122,130,97,balanced,1,0,1,1,0,1,0,0,0,100.23,84.16,67.33,9.977,11.882,52.01,96.0,47.28,64.0
synthetic-00001-11,cfg-00001,cyberpunk_2077,Intel Core i5-12400F,NVIDIA RTX 4060,16,NVMe,0,1920x1080,high,off,msaa_4x,high,low,122,130,97,balanced,1,1,0,0,0,0,1,0,1,102.55,88.69,70.95,9.751,11.276,51.29,96.0,47.28,64.0
synthetic-00001-12,cfg-00001,cyberpunk_2077,Intel Core i5-12400F,NVIDIA RTX 4060,16,NVMe,0,1920x1080,high,off,msaa_4x,high,low,122,130,97,balanced,0,0,1,1,1,0,0,0,1,101.99,87.26,69.81,9.805,11.46,51.46,96.0,47.28,64.0
synthetic-00002-00,cfg-00002,valorant,AMD Ryzen 5 3600,NVIDIA GTX 1660 Super,12,NVMe,0,1920x1080,medium,on,taa,medium,high,36,182,98,max_fps,0,0,0,0,0,0,0,0,0,144.0,100.9,80.72,6.944,9.911,99.0,52.0,46.0,64.0
synthetic-00002-01,cfg-00002,valorant,AMD Ryzen 5 3600,NVIDIA GTX 1660 Super,12,NVMe,0,1920x1080,medium,on,taa,medium,high,36,182,98,max_fps,1,0,0,0,0,0,0,0,0,144.0,105.13,84.1,6.944,9.512,99.0,52.0,46.0,64.0
synthetic-00002-02,cfg-00002,valorant,AMD Ryzen 5 3600,NVIDIA GTX 1660 Super,12,NVMe,0,1920x1080,medium,on,taa,medium,high,36,182,98,max_fps,0,1,0,0,0,0,0,0,0,144.0,108.08,86.46,6.944,9.253,99.0,52.0,46.0,64.0
synthetic-00002-03,cfg-00002,valorant,AMD Ryzen 5 3600,NVIDIA GTX 1660 Super,12,NVMe,0,1920x1080,medium,on,taa,medium,high,36,182,98,max_fps,0,0,1,0,0,0,0,0,0,144.0,99.86,79.89,6.944,10.014,99.0,52.0,46.0,64.0
synthetic-00002-04,cfg-00002,valorant,AMD Ryzen 5 3600,NVIDIA GTX 1660 Super,12,NVMe,0,1920x1080,medium,on,taa,medium,high,36,182,98,max_fps,0,0,0,1,0,0,0,0,0,144.0,101.54,81.23,6.944,9.849,99.0,52.0,46.0,64.0
synthetic-00002-05,cfg-00002,valorant,AMD Ryzen 5 3600,NVIDIA GTX 1660 Super,12,NVMe,0,1920x1080,medium,on,taa,medium,high,36,182,98,max_fps,0,0,0,0,1,0,0,0,0,144.0,106.34,85.08,6.944,9.403,99.0,52.0,46.0,64.0
synthetic-00002-06,cfg-00002,valorant,AMD Ryzen 5 3600,NVIDIA GTX 1660 Super,12,NVMe,0,1920x1080,medium,on,taa,medium,high,36,182,98,max_fps,0,0,0,0,0,1,0,0,0,144.0,113.47,90.78,6.944,8.813,99.0,52.0,46.0,64.0
synthetic-00002-07,cfg-00002,valorant,AMD Ryzen 5 3600,NVIDIA GTX 1660 Super,12,NVMe,0,1920x1080,medium,on,taa,medium,high,36,182,98,max_fps,0,0,0,0,0,0,1,0,0,144.0,102.98,82.38,6.944,9.711,99.0,52.0,46.0,64.0
synthetic-00002-08,cfg-00002,valorant,AMD Ryzen 5 3600,NVIDIA GTX 1660 Super,12,NVMe,0,1920x1080,medium,on,taa,medium,high,36,182,98,max_fps,0,0,0,0,0,0,0,1,0,144.0,106.09,84.87,6.944,9.426,99.0,52.0,46.0,64.0
synthetic-00002-09,cfg-00002,valorant,AMD Ryzen 5 3600,NVIDIA GTX 1660 Super,12,NVMe,0,1920x1080,medium,on,taa,medium,high,36,182,98,max_fps,0,0,0,0,0,0,0,0,1,144.0,112.25,89.8,6.944,8.908,99.0,52.0,46.0,64.0
synthetic-00002-10,cfg-00002,valorant,AMD Ryzen 5 3600,NVIDIA GTX 1660 Super,12,NVMe,0,1920x1080,medium,on,taa,medium,high,36,182,98,max_fps,1,0,0,0,0,0,1,0,1,144.0,116.96,93.57,6.944,8.55,98.8,52.0,46.0,64.0
synthetic-00002-11,cfg-00002,valorant,AMD Ryzen 5 3600,NVIDIA GTX 1660 Super,12,NVMe,0,1920x1080,medium,on,taa,medium,high,36,182,98,max_fps,1,0,0,0,0,1,0,1,0,144.0,120.9,96.72,6.944,8.271,98.1,52.0,46.0,64.0
synthetic-00002-12,cfg-00002,valorant,AMD Ryzen 5 3600,NVIDIA GTX 1660 Super,12,NVMe,0,1920x1080,medium,on,taa,medium,high,36,182,98,max_fps,1,0,0,0,0,1,0,1,0,144.0,120.9,96.72,6.944,8.271,98.1,52.0,46.0,64.0
synthetic-00003-00,cfg-00003,cs2,AMD Ryzen 5 3600,NVIDIA RTX 4060,32,NVMe,1,1920x1080,low,off,msaa_4x,ultra,medium,62,99,43,balanced,0,0,0,0,0,0,0,0,0,149.3,112.34,84.48,6.698,8.901,89.69,52.0,48.56,82.6
synthetic-00003-01,cfg-00003,cs2,AMD Ryzen 5 3600,NVIDIA RTX 4060,32,NVMe,1,1920x1080,low,off,msaa_4x,ultra,medium,62,99,43,balanced,1,0,0,0,0,0,0,0,0,160.2,133.66,100.51,6.242,7.482,87.65,52.0,48.56,82.6
synthetic-00003-02,cfg-00003,cs2,AMD Ryzen 5 3600,NVIDIA RTX 4060,32,NVMe,1,1920x1080,low,off,msaa_4x,ultra,medium,62,99,43,balanced,0,1,0,0,0,0,0,0,0,152.93,118.69,89.25,6.539,8.425,89.01,52.0,48.56,82.6
synthetic-00003-03,cfg-00003,cs2,AMD Ryzen 5 3600,NVIDIA RTX 4060,32,NVMe,1,1920x1080,low,off,msaa_4x,ultra,medium,62,99,43,balanced,0,0,1,0,0,0,0,0,0,152.58,117.83,88.61,6.554,8.486,89.08,52.0,48.56,82.6
synthetic-00003-04,cfg-00003,cs2,AMD Ryzen 5 3600,NVIDIA RTX 4060,32,NVMe,1,1920x1080,low,off,msaa_4x,ultra,medium,62,99,43,balanced,0,0,0,1,0,0,0,0,0,151.39,120.87,90.9,6.606,8.273,89.3,52.0,48.56,82.6
synthetic-00003-05,cfg-00003,cs2,AMD Ryzen 5 3600,NVIDIA RTX 4060,32,NVMe,1,1920x1080,low,off,msaa_4x,ultra,medium,62,99,43,balanced,0,0,0,0,1,0,0,0,0,162.14,135.87,102.17,6.168,7.36,87.29,52.0,48.56,82.6
synthetic-00003-06,cfg-00003,cs2,AMD Ryzen 5 3600,NVIDIA RTX 4060,32,NVMe,1,1920x1080,low,off,msaa_4x,ultra,medium,62,99,43,balanced,0,0,0,0,0,1,0,0,0,157.78,127.17,95.63,6.338,7.864,88.1,52.0,48.56,82.6
synthetic-00003-07,cfg-00003,cs2,AMD Ryzen 5 3600,NVIDIA RTX 4060,32,NVMe,1,1920x1080,low,off,msaa_4x,ultra,medium,62,99,43,balanced,0,0,0,0,0,0,1,0,0,151.69,116.32,87.48,6.593,8.597,89.25,52.0,48.56,82.6
synthetic-00003-08,cfg-00003,cs2,AMD Ryzen 5 3600,NVIDIA RTX 4060,32,NVMe,1,1920x1080,low,off,msaa_4x,ultra,medium,62,99,43,balanced,0,0,0,0,0,0,0,1,0,155.02,122.67,92.25,6.451,8.152,88.62,52.0,48.56,82.6
synthetic-00003-09,cfg-00003,cs2,AMD Ryzen 5 3600,NVIDIA RTX 4060,32,NVMe,1,1920x1080,low,off,msaa_4x,ultra,medium,62,99,43,balanced,0,0,0,0,0,0,0,0,1,151.79,116.82,87.85,6.588,8.56,89.23,52.0,48.56,82.6
synthetic-00003-10,cfg-00003,cs2,AMD Ryzen 5 3600,NVIDIA RTX 4060,32,NVMe,1,1920x1080,low,off,msaa_4x,ultra,medium,62,99,43,balanced,1,0,0,0,1,0,0,0,0,171.97,156.89,117.98,5.815,6.374,85.44,52.0,48.56,82.6
synthetic-00003-11,cfg-00003,cs2,AMD Ryzen 5 3600,NVIDIA RTX 4060,32,NVMe,1,1920x1080,low,off,msaa_4x,ultra,medium,62,99,43,balanced,1,1,0,0,0,1,0,0,0,170.24,152.74,114.86,5.874,6.547,85.77,52.0,48.56,82.6
synthetic-00003-12,cfg-00003,cs2,AMD Ryzen 5 3600,NVIDIA RTX 4060,32,NVMe,1,1920x1080,low,off,msaa_4x,ultra,medium,62,99,43,balanced,0,1,0,0,1,0,1,0,0,166.46,143.97,108.26,6.007,6.946,86.47,52.0,48.56,82.6
synthetic-00004-00,cfg-00004,fortnite,AMD Ryzen 7 5800X3D,AMD RX 7800 XT,8,NVMe,1,1920x1080,low,off,msaa_2x,ultra,ultra,68,176,76,max_fps,0,0,0,0,0,0,0,0,0,151.77,109.49,82.33,6.589,9.134,96.68,52.0,48.56,82.6
synthetic-00004-01,cfg-00004,fortnite,AMD Ryzen 7 5800X3D,AMD RX 7800 XT,8,NVMe,1,1920x1080,low,off,msaa_2x,ultra,ultra,68,176,76,max_fps,1,0,0,0,0,0,0,0,0,160.11,126.03,94.77,6.246,7.935,95.14,52.0,48.56,82.6
synthetic-00004-02,cfg-00004,fortnite,AMD Ryzen 7 5800X3D,AMD RX 7800 XT,8,NVMe,1,1920x1080,low,off,msaa_2x,ultra,ultra,68,176,76,max_fps,0,1,0,0,0,0,0,0,0,156.94,119.39,89.78,6.372,8.376,95.73,52.0,48.56,82.6
synthetic-00004-03,cfg-00004,fortnite,AMD Ryzen 7 5800X3D,AMD RX 7800 XT,8,NVMe,1,1920x1080,low,off,msaa_2x,ultra,ultra,68,176,76,max_fps,0,0,1,0,0,0,0,0,0,155.11,114.97,86.45,6.447,8.698,96.07,52.0,48.56,82.6
synthetic-00004-04,cfg-00004,fortnite,AMD Ryzen 7 5800X3D,AMD RX 7800 XT,8,NVMe,1,1920x1080,low,off,msaa_2x,ultra,ultra,68,176,76,max_fps,0,0,0,1,0,0,0,0,0,153.89,119.28,89.69,6.498,8.384,96.29,52.0,48.56,82.6
synthetic-00004-05,cfg-00004,fortnite,AMD Ryzen 7 5800X3D,AMD RX 7800 XT,8,NVMe,1,1920x1080,low,off,msaa_2x,ultra,ultra,68,176,76,max_fps,0,0,0,0,1,0,0,0,0,164.82,132.99,100.01,6.067,7.519,94.27,52.0,48.56,82.6
synthetic-00004-06,cfg-00004,fortnite,AMD Ryzen 7 5800X3D,AMD RX 7800 XT,8,NVMe,1,1920x1080,low,off,msaa_2x,ultra,ultra,68,176,76,max_fps,0,0,0,0,0,1,0,0,0,162.16,128.95,96.97,6.167,7.755,94.77,52.0,48.56,82.6
synthetic-00004-07,cfg-00004,fortnite,AMD Ryzen 7 5800X3D,AMD RX 7800 XT,8,NVMe,1,1920x1080,low,off,msaa_2x,ultra,ultra,68,176,76,max_fps,0,0,0,0,0,0,1,0,0,154.19,113.46,85.32,6.485,8.814,96.23,52.0,48.56,82.6
synthetic-00004-08,cfg-00004,fortnite,AMD Ryzen 7 5800X3D,AMD RX 7800 XT,8,NVMe,1,1920x1080,low,off,msaa_2x,ultra,ultra,68,176,76,max_fps,0,0,0,0,0,0,0,1,0,158.81,122.8,92.34,6.297,8.143,95.38,52.0,48.56,82.6
synthetic-00004-09,cfg-00004,fortnite,AMD Ryzen 7 5800X3D,AMD RX 7800 XT,8,NVMe,1,1920x1080,low,off,msaa_2x,ultra,ultra,68,176,76,max_fps,0,0,0,0,0,0,0,0,1,160.28,125.46,94.35,6.239,7.97,95.11,52.0,48.56,82.6
synthetic-00004-10,cfg-00004,fortnite,AMD Ryzen 7 5800X3D,AMD RX 7800 XT,8,NVMe,1,1920x1080,low,off,msaa_2x,ultra,ultra,68,176,76,max_fps,0,1,0,0,0,0,1,1,0,165.09,134.96,101.49,6.057,7.41,94.22,52.0,48.56,82.6
synthetic-00004-11,cfg-00004,fortnite,AMD Ryzen 7 5800X3D,AMD RX 7800 XT,8,NVMe,1,1920x1080,low,off,msaa_2x,ultra,ultra,68,176,76,max_fps,0,0,0,1,0,0,0,1,0,160.52,131.97,99.24,6.23,7.577,95.07,52.0,48.56,82.6
synthetic-00004-12,cfg-00004,fortnite,AMD Ryzen 7 5800X3D,AMD RX 7800 XT,8,NVMe,1,1920x1080,low,off,msaa_2x,ultra,ultra,68,176,76,max_fps,0,0,0,1,1,1,0,0,0,175.03,160.19,120.46,5.713,6.243,92.39,52.0,48.56,82.6
synthetic-00005-00,cfg-00005,valorant,AMD Ryzen 7 5800X3D,NVIDIA GTX 1060 6GB,16,NVMe,0,1920x1080,ultra,off,fxaa,high,ultra,103,149,99,balanced,0,0,0,0,0,0,0,0,0,166.69,116.64,93.31,5.999,8.573,99.0,52.0,47.28,64.0
synthetic-00005-01,cfg-00005,valorant,AMD Ryzen 7 5800X3D,NVIDIA GTX 1060 6GB,16,NVMe,0,1920x1080,ultra,off,fxaa,high,ultra,103,149,99,balanced,1,0,0,0,0,0,0,0,0,168.52,122.32,97.86,5.934,8.175,99.0,52.0,47.28,64.0
synthetic-00005-02,cfg-00005,valorant,AMD Ryzen 7 5800X3D,NVIDIA GTX 1060 6GB,16,NVMe,0,1920x1080,ultra,off,fxaa,high,ultra,103,149,99,balanced,0,1,0,0,0,0,0,0,0,173.49,130.13,104.1,5.764,7.685,99.0,52.0,47.28,64.0
synthetic-00005-03,cfg-00005,valorant,AMD Ryzen 7 5800X3D,NVIDIA GTX 1060 6GB,16,NVMe,0,1920x1080,ultra,off,fxaa,high,ultra,103,149,99,balanced,0,0,1,0,0,0,0,0,0,165.36,114.52,91.62,6.048,8.732,99.0,52.0,47.28,64.0
synthetic-00005-04,cfg-00005,valorant,AMD Ryzen 7 5800X3D,NVIDIA GTX 1060 6GB,16,NVMe,0,1920x1080,ultra,off,fxaa,high,ultra,103,149,99,balanced,0,0,0,1,0,0,0,0,0,167.51,117.95,94.36,5.97,8.478,99.0,52.0,47.28,64.0
synthetic-00005-05,cfg-00005,valorant,AMD Ryzen 7 5800X3D,NVIDIA GTX 1060 6GB,16,NVMe,0,1920x1080,ultra,off,fxaa,high,ultra,103,149,99,balanced,0,0,0,0,1,0,0,0,0,173.69,128.11,102.49,5.757,7.806,99.0,52.0,47.28,64.0
